date,start time,end time,mouse ID,level,"go
o-go",stim index,stim name,score,licks_time
2025-05-29,11:52:03,11:52:07,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:10,11:52:13,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:17,11:52:21,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:26,11:52:30,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:32,11:52:36,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:37,11:52:41,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:52:43,11:52:47,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:10,11:53:12,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:14,11:53:16,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:36,11:53:38,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:40,11:53:43,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:46,11:53:48,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:50,11:53:53,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:53,11:53:56,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:53:58,11:54:00,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:01,11:54:04,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:05,11:54:07,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:09,11:54:11,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:13,11:54:15,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:16,11:54:19,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:20,11:54:23,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:23,11:54:26,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:27,11:54:29,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:30,11:54:33,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:33,11:54:36,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:37,11:54:39,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:40,11:54:42,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:44,11:54:46,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:48,11:54:50,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:51,11:54:54,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:55,11:54:58,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:54:59,11:55:02,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:03,11:55:06,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:06,11:55:09,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:11,11:55:13,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:14,11:55:16,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:17,11:55:20,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:21,11:55:23,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:24,11:55:27,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:28,11:55:30,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:31,11:55:34,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:34,11:55:37,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:38,11:55:40,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:41,11:55:44,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:44,11:55:47,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:48,11:55:51,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:51,11:55:54,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:55,11:55:58,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:55:58,11:56:01,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:02,11:56:05,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:05,11:56:08,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:08,11:56:11,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:12,11:56:14,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:15,11:56:18,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:19,11:56:21,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:22,11:56:25,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:26,11:56:28,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:29,11:56:32,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:44,11:56:47,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:48,11:56:50,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:56:51,11:56:54,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:12,11:57:14,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:15,11:57:17,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:18,11:57:20,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:21,11:57:24,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:26,11:57:29,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:36,11:57:39,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:49,11:57:51,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:57:57,11:57:59,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:58:00,11:58:03,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:58:08,11:58:11,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:58:12,11:58:14,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:58:15,11:58:18,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
2025-05-29,11:58:19,11:58:22,000799EB9B,habituation,go,1,7KHz.npy,miss,[]
